name,main_category,sub_category,image,link,ratings,no_of_ratings,price
boAt Rockerz 103 Pro Bluetooth Neckband,electronics,Headphones,https://m.media-amazon.com/images/I/51gnMEfoBCL._AC_UL320_.jpg,https://www.amazon.in/boAt-Rockerz-103-Pro-Bluetooth/dp/B0BR5GXJDR/ref=sr_1_52?qid=1679128669&s=electronics&sr=1-52,3.7,513,899
AmazonBasics 1.5 Ton Inverter Split AC ,electronics,Air Conditioners,https://m.media-amazon.com/images/I/71Gij6Cos4L._AC_UL320_.jpg,https://www.amazon.in/AmazonBasics-Star-Inverter-Conditioner-LEEL/dp/B07L44L1GP/ref=sr_1_52?qid=1679134240&s=kitchen&sr=1-52,3.7,1195,32990
KARP Office Chair Wheel Revolving Chair,Furniture,Chairs,https://m.media-amazon.com/images/I/61OovdsVISL._AC_UL320_.jpg,https://www.amazon.in/KARP-Office-Castor-Thread-Revolving/dp/B09RSYPKX8/ref=sr_1_482?qid=1679212908&s=kitchen&sr=1-482,3.6,119,249
Study Table Chair for Growing Kids,Furniture,Chairs,https://m.media-amazon.com/images/I/71I+1qRvDML._AC_UL320_.jpg,https://www.amazon.in/Growing-Cartoon-Printed-Rounded-Foldable/dp/B0BMDW8X6P/ref=sr_1_495?qid=1679212908&s=kitchen&sr=1-495,3.6,8,699
PARASNATH Mild Steel Plastic 3-4 Layer Utility Shoe Rack,Furniture,Racks,https://m.media-amazon.com/images/I/91FHmLk9-dL._AC_UL320_.jpg,https://www.amazon.in/PARASNATH-Steel-Plastic-Utility-Shelve/dp/B09GV9KG9V/ref=sr_1_451?qid=1679212906&s=kitchen&sr=1-451,3.6,313,370
UNBEATABLE Men s Running Shorts,Sports & Fitness,Men's shorts,https://m.media-amazon.com/images/I/81sOaxv+2SL._AC_UL320_.jpg,https://www.amazon.in/UNBEATABLE-Running-Shorts%EF%BC%8CWorkout-Shorts-Outdoor/dp/B09Y1YC8ZF/ref=sr_1_61?qid=1679217837&s=sports&sr=1-61,3.6,115,328
Adidas Men's Polyester Club Sw Shorts,Sports & Fitness,Men's shorts,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71lOIhAUCYL._AC_UL320_.jpg,https://www.amazon.in/Adidas-Polyester-Shorts-Gh7222-M-White/dp/B08S3QSL2L/ref=sr_1_294?qid=1679217843&s=sports&sr=1-294,3.6,6,869
LEOTUDE Women's Cottonblend T-Shirts,clothing,T-Shirts,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61iKv6-unXL._AC_UL320_.jpg,https://www.amazon.in/Leotude-Womens-T-Shirt-22_PNKHEART_S_Grey_Small/dp/B08HJ6ZDC6/ref=sr_1_14?qid=1679152740&s=apparel&sr=1-14,3.6,162,309
The Modern Soul T-Shirts,clothing,T-Shirts,https://m.media-amazon.com/images/I/618jtrnUUwL._AC_UL320_.jpg,https://www.amazon.in/Modern-Soul-Oversized-T-Shirts-Medium/dp/B0BVTG2QPQ/ref=sr_1_25?qid=1679139859&s=apparel&sr=1-25,3.6,13,379
Fastrack Reflex Play Smart Watch with AOD,clothing,Watches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71MXBWGALUL._AC_UL320_.jpg,https://www.amazon.in/Fastrack-Reflex-AMOLED-Display-Watchfaces/dp/B0B4NSK3L1/ref=sr_1_5?qid=1679155582&s=watches&sr=1-5,3.6,3013,3495
Writing Table Chair for Growing Kids,Furniture,Chairs,https://m.media-amazon.com/images/I/41wGjFWnJfL._AC_UL320_.jpg,https://www.amazon.in/Writing-Growing-Cartoon-Printed-Foldable/dp/B0BR7LLY7N/ref=sr_1_1165?qid=1679212919&s=kitchen&sr=1-1165,3.5,7,699
Shona Business Plastic Chair (Brown),Furniture,Chairs,https://m.media-amazon.com/images/I/51y3Q57-KhL._AC_UL320_.jpg,https://www.amazon.in/Shona-Business-Plastic-Chair-Pack/dp/B09T6MVLPF/ref=sr_1_1189?qid=1679212920&s=kitchen&sr=1-1189,3.5,12,811
Amazon Brand - Solimo - Multipurpose Rack,Furniture,Racks,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/715wwm0l3SL._AC_UL320_.jpg,https://www.amazon.in/Amazon-Brand-Solimo-Multipurpose-Clothes/dp/B0B9811KST/ref=sr_1_345?qid=1679212904&s=kitchen&sr=1-345,3.5,27,1064.86
Multipurpose Utility 4 Layer Heavy Duty Foldable Rack ,Furniture,Racks,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41pCpUoeXqL._AC_UL320_.jpg,https://www.amazon.in/Multipurpose-Utility-Layer-Plastic-Foldable/dp/B0BK1PPGNC/ref=sr_1_359?qid=1679212904&s=kitchen&sr=1-359,3.5,2,449
Yogarise 6mm TPE Anti-Skid Yoga Mat ,Sports & Fitness,Yoga Mats,https://m.media-amazon.com/images/I/61l0geAGAhL._AC_UL320_.jpg,https://www.amazon.in/Anti-Skid-Waterproof-Lightweight-Convenient-6mm/dp/B0B2WSH8Y1/ref=sr_1_87?qid=1679217838&s=sports&sr=1-87,3.5,138,699
ARNV 12mm Yoga Mats ,Sports & Fitness,Yoga Mats,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/91qILScbd1S._AC_UL320_.jpg,https://www.amazon.in/ARNV-YM-12mm-Purple-Other-Purple-Strap/dp/B08LCLVT4C/ref=sr_1_291?qid=1679217843&s=sports&sr=1-291,3.5,31,397.67
LEOTUDE Women's Cottonblend Half Sleeve T-Shirts,clothing,T-Shirts,https://m.media-amazon.com/images/I/61gbhfCSB8L._AC_UL320_.jpg,https://www.amazon.in/LEOTUDE-Oversized-Cotton-Sleeve-T-Shirts/dp/B0BCQQ7XG5/ref=sr_1_141?qid=1679152743&s=apparel&sr=1-141,3.5,165,304
Trendy World Cotton Printed Half Sleeves T-Shirts,clothing,T-Shirts,https://m.media-amazon.com/images/I/81MCGmekwRL._AC_UL320_.jpg,https://www.amazon.in/Trendy-World-Printed-Sleeves-T-Shirts/dp/B09WZ28WM5/ref=sr_1_5117?qid=1679152925&s=apparel&sr=1-5117,3.5,92,799
